"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"29/12/2023","2.071,80","2.076,10","2.084,10","2.067,60","105,72K","-0,56%"
"28/12/2023","2.083,50","2.089,50","2.098,20","2.074,60","129,54K","-0,46%"
"27/12/2023","2.093,10","2.079,30","2.095,80","2.072,80","128,18K","1,13%"
"26/12/2023","2.069,80","2.066,00","2.080,50","2.065,10","79,57K","0,03%"
"22/12/2023","2.069,10","2.061,20","2.083,00","2.058,20","170,15K","0,87%"
"21/12/2023","2.051,30","2.044,40","2.058,00","2.043,30","119,95K","0,18%"
"20/12/2023","2.047,70","2.053,80","2.056,90","2.040,60","122,57K","-0,21%"
"19/12/2023","2.052,10","2.041,10","2.061,00","2.034,80","134,78K","0,57%"
"18/12/2023","2.040,50","2.033,30","2.048,00","2.029,50","141,41K","0,24%"
"15/12/2023","2.035,70","2.051,30","2.059,60","2.029,20","172,15K","-0,45%"
"14/12/2023","2.044,90","2.043,20","2.062,90","2.039,10","231,10K","2,38%"
"13/12/2023","1.997,30","1.995,10","2.043,30","1.987,90","192,68K","0,21%"
"12/12/2023","1.993,20","1.997,80","2.012,50","1.992,30","148,53K","-0,03%"
"11/12/2023","1.993,70","2.020,00","2.023,70","1.991,20","160,07K","-1,03%"
"08/12/2023","2.014,50","2.045,70","2.050,40","2.010,60","237,29K","-1,56%"
"07/12/2023","2.046,40","2.043,40","2.057,20","2.036,60","173,98K","-0,07%"
"06/12/2023","2.047,90","2.037,80","2.053,40","2.035,30","154,22K","0,57%"
"05/12/2023","2.036,30","2.049,00","2.059,60","2.027,60","209,55K","-0,29%"
"04/12/2023","2.042,20","2.094,40","2.152,30","2.038,40","378,22K","-2,27%"
"01/12/2023","2.089,70","2.056,50","2.095,70","2.052,60","241,62K","1,58%"
"30/11/2023","2.057,20","2.065,40","2.067,40","2.051,20","151,92K","-0,48%"
"29/11/2023","2.067,10","2.062,00","2.072,70","2.055,90","197,79K","1,33%"
"28/11/2023","2.040,00","2.014,30","2.044,10","2.011,50","174,67K","1,37%"
"27/11/2023","2.012,40","2.002,50","2.018,90","2.001,40","251,25K","0,47%"
"23/11/2023","2.003,00","1.991,20","2.004,50","1.990,90","214,88K","0,51%"
"22/11/2023","1.992,80","2.000,30","2.008,30","1.988,60","199,37K","-0,44%"
"21/11/2023","2.001,60","1.980,00","2.009,80","1.979,90","230,02K","1,08%"
"20/11/2023","1.980,30","1.980,90","1.987,80","1.967,20","177,89K","-0,22%"
"17/11/2023","1.984,70","1.984,20","1.996,40","1.981,10","133,12K","-0,13%"
"16/11/2023","1.987,30","1.963,00","1.991,10","1.959,00","186,81K","1,17%"
"15/11/2023","1.964,30","1.966,90","1.979,20","1.958,80","142,92K","-0,11%"
"14/11/2023","1.966,50","1.950,30","1.975,30","1.938,80","180,74K","0,84%"
"13/11/2023","1.950,20","1.943,40","1.953,50","1.935,60","183,70K","0,65%"
"10/11/2023","1.937,70","1.964,10","1.965,60","1.936,90","229,64K","-1,63%"
"09/11/2023","1.969,80","1.955,50","1.971,50","1.948,30","214,08K","0,61%"
"08/11/2023","1.957,80","1.975,30","1.977,50","1.953,20","189,36K","-0,80%"
"07/11/2023","1.973,50","1.984,80","1.985,20","1.962,80","218,95K","-0,76%"
"06/11/2023","1.988,60","1.999,40","2.000,10","1.984,20","146,28K","-0,53%"
"03/11/2023","1.999,20","1.993,50","2.011,90","1.989,30","222,19K","0,29%"
"02/11/2023","1.993,50","1.992,00","1.999,20","1.986,30","158,65K","0,30%"
"01/11/2023","1.987,50","1.993,30","2.005,90","1.978,20","197,63K","-0,34%"
"31/10/2023","1.994,30","2.005,60","2.017,70","1.987,40","214,78K","-0,56%"
"30/10/2023","2.005,60","2.013,50","2.016,80","1.999,70","181,34K","0,36%"
"27/10/2023","1.998,50","1.995,00","2.019,70","1.986,40","213,76K","0,06%"
"26/10/2023","1.997,40","1.991,20","2.003,70","1.981,60","214,05K","0,13%"
"25/10/2023","1.994,90","1.982,70","1.998,60","1.973,60","240,66K","0,44%"
"24/10/2023","1.986,10","1.984,10","1.992,00","1.964,60","200,94K","-0,09%"
"23/10/2023","1.987,80","1.987,70","1.994,30","1.971,00","212,29K","-0,33%"
"20/10/2023","1.994,40","1.988,00","2.009,20","1.983,70","289,11K","0,70%"
"19/10/2023","1.980,50","1.960,10","1.990,20","1.957,00","264,82K","0,62%"
"18/10/2023","1.968,30","1.936,70","1.975,80","1.935,90","270,05K","1,68%"
"17/10/2023","1.935,70","1.933,30","1.944,50","1.924,60","165,06K","0,07%"
"16/10/2023","1.934,30","1.941,30","1.943,00","1.921,20","182,82K","-0,37%"
"13/10/2023","1.941,50","1.881,70","1.946,20","1.881,50","312,99K","3,11%"
"12/10/2023","1.883,00","1.888,10","1.898,30","1.880,60","163,48K","-0,23%"
"11/10/2023","1.887,30","1.873,70","1.890,90","1.871,70","169,96K","0,64%"
"10/10/2023","1.875,30","1.875,40","1.879,10","1.866,10","157,34K","0,59%"
"09/10/2023","1.864,30","1.861,00","1.877,30","1.857,50","187,80K","1,04%"
"06/10/2023","1.845,20","1.834,30","1.849,00","1.823,50","231,02K","0,73%"
"05/10/2023","1.831,80","1.837,60","1.843,50","1.826,20","172,46K","-0,16%"
"04/10/2023","1.834,80","1.838,70","1.846,80","1.831,60","195,05K","-0,36%"
"03/10/2023","1.841,50","1.844,90","1.849,30","1.830,90","216,78K","-0,31%"
"02/10/2023","1.847,20","1.864,40","1.864,70","1.842,70","202,15K","-1,01%"
"29/09/2023","1.866,10","1.882,30","1.896,70","1.862,30","245,13K","-0,67%"
"28/09/2023","1.878,60","1.893,30","1.896,80","1.874,50","231,42K","-0,65%"
"27/09/2023","1.890,90","1.918,80","1.921,70","1.890,30","238,53K","-1,51%"
"26/09/2023","1.919,80","1.935,10","1.935,50","1.917,20","212,26K","-0,87%"
"25/09/2023","1.936,60","1.944,70","1.946,80","1.933,80","164,26K","-0,46%"
"22/09/2023","1.945,60","1.939,60","1.949,10","1.939,60","139,93K","0,31%"
"21/09/2023","1.939,60","1.952,00","1.952,20","1.933,10","225,91K","-1,40%"
"20/09/2023","1.967,10","1.953,00","1.968,90","1.948,60","220,98K","0,69%"
"19/09/2023","1.953,70","1.955,30","1.958,90","1.950,90","131,10K","0,02%"
"18/09/2023","1.953,40","1.945,70","1.955,70","1.943,80","138,03K","0,37%"
"15/09/2023","1.946,20","1.932,50","1.952,40","1.931,20","199,77K","0,69%"
"14/09/2023","1.932,80","1.930,70","1.934,50","1.921,70","201,74K","0,02%"
"13/09/2023","1.932,50","1.935,20","1.938,40","1.927,20","161,00K","-0,13%"
"12/09/2023","1.935,10","1.945,60","1.947,50","1.929,90","161,99K","-0,62%"
"11/09/2023","1.947,20","1.943,30","1.954,60","1.939,50","131,08K","0,23%"
"08/09/2023","1.942,70","1.943,80","1.954,00","1.940,80","138,69K","0,01%"
"07/09/2023","1.942,50","1.942,20","1.947,90","1.940,30","117,17K","-0,09%"
"06/09/2023","1.944,20","1.951,50","1.954,50","1.940,00","148,78K","-0,43%"
"04/09/2023","1.952,60","1.966,70","1.972,60","1.950,60","192,79K","-0,74%"
"01/09/2023","1.967,10","1.966,40","1.980,20","1.960,70","160,73K","0,06%"
"31/08/2023","1.965,90","1.970,20","1.974,90","1.965,50","133,71K","-0,36%"
"30/08/2023","1.973,00","1.966,00","1.977,10","1.962,80","142,38K","0,40%"
"29/08/2023","1.965,10","1.948,10","1.966,50","1.941,70","174,22K","0,94%"
"28/08/2023","1.946,80","1.944,00","1.954,20","1.940,10","115,55K","0,36%"
"25/08/2023","1.939,90","1.944,90","1.950,40","1.931,00","166,99K","-0,37%"
"24/08/2023","1.947,10","1.944,90","1.951,30","1.939,20","137,39K","-0,05%"
"23/08/2023","1.948,10","1.926,80","1.949,70","1.926,20","170,04K","1,15%"
"22/08/2023","1.926,00","1.924,00","1.933,20","1.917,50","131,09K","0,16%"
"21/08/2023","1.923,00","1.918,40","1.927,90","1.913,60","138,11K","0,34%"
"18/08/2023","1.916,50","1.919,20","1.926,00","1.915,90","114,74K","0,07%"
